SL_NO,TRAIN_NUMB,TRAINDATE,STTN_CODE,ARVL_TIME,DEP_TTIME,SCHED_ARVL,SCHED_DEP,SCHED_ARVL_TIME,ARVL_DELAY_MIN
2,12635,2025-06-15 13:45:00,TBM,2025-06-15 14:13:48,2025-06-15 14:14:41,14:10:00,14:12:00,2025-06-15 14:10:00,3.8
3,12635,2025-06-15 13:45:00,CGL,2025-06-15 14:38:43,2025-06-15 14:41:52,14:38:00,14:40:00,2025-06-15 14:38:00,0.7166666666666667
4,12635,2025-06-15 13:45:00,VM,2025-06-15 16:03:39,2025-06-15 16:08:49,15:55:00,16:00:00,2025-06-15 15:55:00,8.65
5,12635,2025-06-15 16:10:00,VRI,2025-06-15 16:45:21,2025-06-15 16:47:20,16:40:00,16:42:00,2025-06-15 16:40:00,5.35
6,12635,2025-06-15 16:10:00,ALU,2025-06-15 17:33:01,2025-06-15 17:56:45,17:18:00,17:19:00,2025-06-15 17:18:00,15.016666666666667
7,12635,2025-06-15 16:10:00,SRGM,2025-06-15 18:39:59,2025-06-15 18:41:42,17:59:00,18:01:00,2025-06-15 17:59:00,40.983333333333334
8,12635,2025-06-15 16:10:00,TPJ,2025-06-15 19:00:26,2025-06-15 19:08:36,18:50:00,18:55:00,2025-06-15 18:50:00,10.433333333333334
9,12635,2025-06-15 19:10:00,MPA,2025-06-15 19:35:35,2025-06-15 19:37:05,19:24:00,19:25:00,2025-06-15 19:24:00,11.583333333333334
10,12635,2025-06-15 19:10:00,DG,2025-06-15 20:14:17,2025-06-15 20:17:07,20:03:00,20:05:00,2025-06-15 20:03:00,11.283333333333333
11,12635,2025-06-15 19:10:00,SDN,2025-06-15 20:59:39,2025-06-15 21:01:13,20:35:00,20:36:00,2025-06-15 20:35:00,24.65
12,12635,2025-06-15 19:10:00,MDU,2025-06-15 21:21:09,,21:20:00, ,2025-06-15 21:20:00,1.15
14,12635,2025-06-16 13:45:00,TBM,2025-06-16 14:16:17,2025-06-16 14:19:00,14:10:00,14:12:00,2025-06-16 14:10:00,6.283333333333333
15,12635,2025-06-16 13:45:00,CGL,2025-06-16 14:44:16,2025-06-16 14:47:39,14:38:00,14:40:00,2025-06-16 14:38:00,6.266666666666667
16,12635,2025-06-16 13:45:00,VM,2025-06-16 16:07:19,2025-06-16 16:13:34,15:55:00,16:00:00,2025-06-16 15:55:00,12.316666666666666
17,12635,2025-06-16 16:10:00,VRI,2025-06-16 16:54:42,2025-06-16 16:56:33,16:40:00,16:42:00,2025-06-16 16:40:00,14.7
18,12635,2025-06-16 16:10:00,ALU,2025-06-16 17:46:53,2025-06-16 18:00:46,17:18:00,17:19:00,2025-06-16 17:18:00,28.883333333333333
19,12635,2025-06-16 16:10:00,SRGM,2025-06-16 18:45:57,2025-06-16 18:47:55,17:59:00,18:01:00,2025-06-16 17:59:00,46.95
20,12635,2025-06-16 16:10:00,TPJ,2025-06-16 19:08:40,2025-06-16 19:18:36,18:50:00,18:55:00,2025-06-16 18:50:00,18.666666666666668
21,12635,2025-06-16 19:10:00,MPA,2025-06-16 19:47:43,2025-06-16 19:48:57,19:24:00,19:25:00,2025-06-16 19:24:00,23.716666666666665
22,12635,2025-06-16 19:10:00,DG,2025-06-16 20:27:41,2025-06-16 20:30:18,20:03:00,20:05:00,2025-06-16 20:03:00,24.683333333333334
23,12635,2025-06-16 19:10:00,SDN,2025-06-16 21:08:24,2025-06-16 21:09:51,20:35:00,20:36:00,2025-06-16 20:35:00,33.4
24,12635,2025-06-16 19:10:00,MDU,2025-06-16 21:30:47,,21:20:00, ,2025-06-16 21:20:00,10.783333333333333
26,12635,2025-06-17 13:45:00,TBM,2025-06-17 14:08:07,2025-06-17 14:12:00,14:10:00,14:12:00,2025-06-17 14:10:00,-1.8833333333333333
27,12635,2025-06-17 13:45:00,CGL,2025-06-17 14:40:00,2025-06-17 14:42:00,14:38:00,14:40:00,2025-06-17 14:38:00,2.0
28,12635,2025-06-17 13:45:00,VM,2025-06-17 16:03:14,2025-06-17 16:09:34,15:55:00,16:00:00,2025-06-17 15:55:00,8.233333333333333
29,12635,2025-06-17 16:10:00,VRI,2025-06-17 16:45:56,2025-06-17 16:48:39,16:40:00,16:42:00,2025-06-17 16:40:00,5.933333333333334
30,12635,2025-06-17 16:10:00,ALU,2025-06-17 17:37:00,2025-06-17 17:39:00,17:18:00,17:19:00,2025-06-17 17:18:00,19.0
